date,text
1/7/20 23:28,"Word to the wise, don't order your @OriginalFunko #funkopop from @Walmart Was pretty excited til I went to pick it up and saw the guy bringing it out in a fucking BAG! No padding, no box...no wonder it's best to shit. Returning ASAP! "
1/7/20 23:16,The good news keeps glowing. Our bright on™ premium whitening was rated #1 by @cosmopolitan. Pick yours up today at a @Walmart near you or shop now → https://smiledirect.co/2QzC0oZ | For the full article → https://smiledirect.co/2QW8E2V
1/7/20 23:14,@Walmart Tony from the Wyncote location (store 5229)was very rude today. Went in to pick up an online order (that was already paid for AND i paid For same day pickup YESTERDAY) the order still wasn’t ready when i went There today. I also overheard him talking shit about him
1/7/20 23:01,That's rough man. I just pick it up at Walmart lol
1/7/20 22:46,Nope. Just one that’s functional. I’m going to purchase it from her nearest Walmart so she can pick up.
1/7/20 22:34,"So we stopped to pick up crickets for Mo' our leopard gecko... (name is Crickets - Mo' Crickets) ...loves hunting them). Next we went to Walmart for tortoise food (Kale, yum!). I stayed in the car. I kept hearing... https://www.facebook.com/1240599381/posts/10215913334206489/"
1/7/20 22:25,"SCES Choir and Drama will have a combined bake sale in front of Walmart on Saturday, January 11th. Stop by and pick up some yummy treats for the kids!"
1/7/20 22:20,@Walmart when I order something for pickup I expect to walk in and walk out. Of course there happens to be an issue and my order ‘gets lost’. I DONT HAVE TIME FOR THIS BULLSHIT. Hence using PICK UP.
1/7/20 22:18,Right? I can’t wait to pick up and see if that’s actually what they give me!
1/7/20 21:53,serta ultra firm arent bad. but just go to a walmart and pick up a signature or other store brand one. at least then you can lay your head on the plastic to make sure its firm enough too. or go for dream rite memory foam. they are like 20-30 bucks
1/7/20 21:49,"@Walmart I hate to be the one to tell you, but, those aren't clouds. I will no longer shop at Walmart. You ain't killing you. I gotta check to pick up. "
1/7/20 21:46,It's a trick! He just wants you to think he's important like the guy who puts twist ties on bread bags or the woman who sometimes picks up stray cans in the walmart parking lot.
1/7/20 21:10,Ok I'll stop by Walmart and pick one up!
1/7/20 20:57,@JoinDropSupport I hate to have to write again for the same Walmart grocery issue but again on January 3rd I picked up my Walmart grocery pick up order and again my 3000 points are not showing up in my pending points.
1/7/20 20:50,"Terribly disappointed by the customer service from @walmart store 975 Durant, OK. Waited 2 hours for groceries that were guaranteed ready courtesy of online ordering &amp; confirmed pick up time. What did the manager onsite say when I asked about delay? #crickets #reallydisappointed"
1/7/20 20:43,People be so quick to be on the support black business wave..... but Hair Cuttery/Walmart don’t close early or not open at all because they gotta pick they kids up early (&amp; yes I know those are big chains... but you get it) 
1/7/20 20:42,I fell asleep bc I was cold & I woke up rn so we going to walmart to return the piano &amp; pick up my Uv/led nail lamp that I order a few days ago 
1/7/20 20:39,Want your smile to shine as bright as Corey's? Pick up our bright on premium teeth whitening kit (now available at @Walmart.) 
1/7/20 20:20,"Bit of good news today: After getting the new tires, I completed my 100th (and 101st) Doordash deliveries. Most requested businesses to pick up stuff from: Chipotle, followed by Walmart Grocery."
1/7/20 20:07,SO PICK ME UP UNITED STATES NAVY BY DROPPING CASH IN MY WALMART MONEY CARD LIKE LOTS. KEEP GOING(ASK NO MORE QUESTIONS)
1/7/20 20:04,"this bitch and i said... ok we gonna eat later and,,, go to walmart then pick up popeyes on da way home,,, what in the fat"
1/7/20 19:36,"Went to @Walmart today to pick up @jokermovie, but then I saw the Death Crystal Morty, and something commanded me to get it! #RickAndMorty #Joker #Funko @OriginalFunko"
1/7/20 19:30,"Not so fast, oh so perceived to be clever one, there needs to be an armed conflict with soldiers, weapons, commanders and stuff. . Guess all of us poorly dentured, smelly Trump supporters need to hop in our pick up trucks and head to WalMart to help the cause! "
1/7/20 19:16,Walmart: $3.14 Free Pick up *Now $4.08* #Deal #ganga https://www.amazon.com/Jack-Links-Teriyaki-Protein-5-0-625oz/dp/B015SQAVB8?tag=cooldeal0b-20
1/7/20 19:15,Did you get what you want for the #holidays? #RTClient @Walmart says now is the time to pick up the gift you were really hoping for! http://ow.ly/Xbci30q7ddK
1/7/20 19:14,Walmart finally got my order ready to pick up. I ain’t sitting in a kitchen chair anymore!
1/7/20 18:31,Walmart: $3.14 Free Pick up *Now $4.08* #Deal #ganga https://www.amazon.com/Jack-Links-Teriyaki-Protein-5-0-625oz/dp/B015SQAVB8?tag=cooldeal0b-20
1/7/20 18:08,TIFU buying KY at Walmart. I went to Walmart to pick up some stuff. First item on my list: bottle of the ol’ faithful KY Jelly. I walked into the pharmacy section to find all of that “paraphernalia” is now locked in a glass box. I stood there in disbel… https://ift.tt/2X2rmXR
1/7/20 17:46,Walmart: $3.14 Free Pick up *Now $4.08* #Deal #ganga https://www.amazon.com/Jack-Links-Teriyaki-Protein-5-0-625oz/dp/B015SQAVB8?tag=cooldeal0b-20
1/7/20 17:42,work just told me to drive to walmart to pick something up. i guess u can manifest shit by tweeting 
1/7/20 17:41,omg yall i used the walmart grocery pick up yesterday and why tffff have i not been doing this??? online shop for groceries and then coming to pick them up and have them loaded into your car for free?!?
1/7/20 17:01,Walmart: $3.14 Free Pick up *Now $4.08* #Deal #ganga https://www.amazon.com/Jack-Links-Teriyaki-Protein-5-0-625oz/dp/B015SQAVB8?tag=cooldeal0b-20
1/7/20 16:56,"Gym, meal prepped, cleaned, did laundry, and now going get my Walmart pick up. I feel accomplished af."
1/7/20 16:46,My kids are next level w i l d this morning & I went to the wrong Walmart for grocery pick up 
1/7/20 16:31,You can only buy it off http://Walmart.com and then pick it up at your Walmart
1/7/20 16:20,Walmart grocery pick up is life changing
1/7/20 16:16,Walmart: $3.14 Free Pick up *Now $4.08* #Deal #ganga https://www.amazon.com/Jack-Links-Teriyaki-Protein-5-0-625oz/dp/B015SQAVB8?tag=cooldeal0b-20
1/7/20 16:08,"Amiguis, ayer estaba aburrida e hice el súper el lunes en Walmart Pick Up y ya lo vine a buscar y creo que desbloqueé un nuevo nivel de señorez Millenial."
1/7/20 15:55,"You always seem to have those delicious treats , and I am sure you will get another box soon When I am in the USA I usually pick some up at Walmart. Hopefully no snow and our trip to Portland on Sunday will include grabbing some of them up. "
1/7/20 15:46,I’m dying Soon as Walmart text me my heating pad is ready for pick up I’m gone
1/7/20 15:38,I woke up at 5am and that gave me enough time to: - go to the gym - come home and make breakfast - watch TV - take my brother to school - go shopping at Walmart - pick up my meds from CVS - come home and fix my bicycle - and still have tome to watch TV before 12!
1/7/20 15:32,"DEAR FRIENDS! I have a family who truly needs food...I am hoping to purchase some food at their local Walmart where they can pick it up!It will be bought &amp; paid for &amp; cannot be returned.Can any of you please help. It's Mom, Dad &amp; 2 children.Please contact me asap!!! I APPRECIATE! "
1/7/20 15:31,Walmart: $3.14 Free Pick up *Now $4.08* #Deal #ganga https://www.amazon.com/Jack-Links-Teriyaki-Protein-5-0-625oz/dp/B015SQAVB8?tag=cooldeal0b-20
1/7/20 14:46,Walmart: $3.14 Free Pick up *Now $4.08* #Deal #ganga https://www.amazon.com/Jack-Links-Teriyaki-Protein-5-0-625oz/dp/B015SQAVB8?tag=cooldeal0b-20
1/7/20 14:43,"I have been done with wegmans for a long time. I know that is blasphemy around here and the fanboys will rage, but their push to overpriced wegmans brand foods and extremely high priced premade meals have driven me away. I LOVE the free walmart pick up!"
1/7/20 14:25,"okay... ...so how do YOU buy your vegan food? do you ever pick up food from a a supermarket, like a walmart, that also sells animal products? providing the option does ABSOLUTELY no harm and is making the transition for people much easier to take."
1/7/20 14:23,It wasn’t so long ago you could do your weekly shop in Walmart and pick up a gun at the same time 
1/7/20 14:23,Would like to add..speaking for my geographic area.. this will just push more people to Aldi and WalMart. The younger girls... 20’s and 30’s love the WalMart pick up service and the 65-85 ladies get groceries at WalMart/Save-a-Lot because it is not congested like Wegmans.
1/7/20 14:01,Walmart: $3.14 Free Pick up *Now $4.08* #Deal #ganga https://www.amazon.com/Jack-Links-Teriyaki-Protein-5-0-625oz/dp/B015SQAVB8?tag=cooldeal0b-20
1/7/20 13:16,Walmart: $3.14 Free Pick up *Now $4.08* #Deal #ganga https://www.amazon.com/Jack-Links-Teriyaki-Protein-5-0-625oz/dp/B015SQAVB8?tag=cooldeal0b-20
1/7/20 12:45,"NOW AVAILABLE IN PARTICIPATING STORES NEAR YOU, PICK ONE UP AT YOUR LOCAL WALMART I WOULD SELL MY KIDNEYS FOR HIM"
1/7/20 12:38,"Say it isn’t so, good thing I got my order into Walmart for PICK UP today. Bawhaha "
1/7/20 12:37,Come to Texas. Love to tie New Yorker's to pick up truck and drag em around Walmart parking lot.
1/7/20 12:31,Walmart: $3.14 Free Pick up *Now $4.08* #Deal #ganga https://www.amazon.com/Jack-Links-Teriyaki-Protein-5-0-625oz/dp/B015SQAVB8?tag=cooldeal0b-20
1/7/20 10:09,Walmart has order pick up too. She can add you as the pick up person and you can get exactly what she picked out. Put her on and save yourself the headache of making the mistake 
1/7/20 9:05,"Going to Walmart and yelling ""Swiper no swiping!"" when someone goes to pick something up...#YOLO"
1/7/20 7:40,"its friday night in 2005 your mom wakes you up from an after school nap and says you can pick a movie this time from blockbuster. Later, you walk to Walmart and stock up on candies/snacks, and head back home with pizza on your lap. life’s good"
1/7/20 7:22,"I am really pissed at this nurse practitioner at Southwest Medical, super fucking pissed. Trying to tell me that something wasn’t wrong with me when I knew it was. I didn’t even get a phone call, I got an email saying that I have antibiotics to pick up at Walmart."
1/7/20 7:19,ordered 50 prints of ateez at walmart but my mom gonna pick up the pics for me so i dont have to face the embarrassment &lt;3
1/7/20 6:49,Adult life: I found a coupon that gives you $10 off the online Walmart grocery ordering thing and it WORKED and now I’m EXCITED to pick up my groceries on Wednesday because it’s CHEAPER and I don’t have to interact with almost ANYBODY
1/7/20 6:48,how can someone name their child alexa in this day and age. in a few years u tell ur kid “alexa go pick up some bread from the store” and ur echo dot gonna steal ur car n ur credit card information and go splurge at walmart
1/7/20 6:11,Walmart to Walmart cheap and you just need your Id to pick up the cash.
1/7/20 6:08,"It’s 2020. Take your a$$to Walgreens, CVS, Walmart. Target, your doctor, free clinic or health dept and pick up some birth control. There’s no reason you should be getting abortions instead."
1/7/20 6:04,Thought I'd order a few things from Walmart and save myself a trip.What a waste of time that was! I realized 2 of the items were pick up only.The cat food(a Walmart brand) and baby wipes would have to be picked up while the rest could be delivered.makes no sense to me ...lol
1/7/20 4:14,Bruh I wish Uber Eats could go to Walmart and pick some things up for me. I just want snacks
1/7/20 3:30,If this man don’t hurry up and pick me up to go to Walmart we gone have some problems 
1/7/20 3:07,If you're looking for a good pick me up here you go! You can buy this at Walmart or Target! It's the best iced coffee I've ever had and I know you like it! You can also buy it on Amazon :-) 
1/7/20 2:33,"Realised I forgot to pick up my medications refill. Ran out to Walmart. Put the meds on my dashboard so I wouldn't forget where they were. Forgot where they were. Searched for 15 minutes to find them. New adapter is still MIA. Boy howdy, this sure sucks."
1/7/20 1:45,Dude shoutout to Walmart pick up. You the real MVP 
1/7/20 1:18,Next time u go to Walmart . Pick up a BBQ chicken wrap . Thank me later 
1/7/20 1:08,"I need everyone who gets out of their car for Walmart grocery pick up to stop it. You’re missing the point, and I don’t think they need your help."
1/7/20 1:05,it made my heart so genuinely happy when my brother came up to me in walmart talking about how excited he is for me and victoria and helped me pick out dishes for our house
1/7/20 1:01,I love Walmart pick up. Order my groceries then pull up when it’s ready. They’ll put it in your trunk or backseat. And that’s it.
1/7/20 0:49,You know I at least picked a good place to chill and wait for someone to come pick me up because nobody is gonna think it’s weird to Just see someone chilling in the Walmart parking lot for 30+ minutes.
1/7/20 0:40,"Parental figure is on the way to pick me up from Walmart and we’re gonna have to just,,, leave my car here cause aahahahahaaaa nobody has a spare tire for my car"
1/7/20 0:38,Idk where u are but i use shipt vs instacart but same entity. If ur a walmart shopper u can order and pick up or have them delivered
1/7/20 0:34,"Idc what time of day it is, I could literally need to just pick up one thing.. I will take the drive to the Laplata Walmart I just see it no other way"
1/7/20 0:30,@Walmart Please deal with these unprofessional reps in North Bergen. I called to find out of a product was there before I drove 12 miles for nothing (as advised by consumers online) and people pick up and put u on hold with no consult. Tej never come back. I called 5 times
1/7/20 0:22,Here we go again @Walmart. My pick up time idle supposed to be between 5-6pm today. Looks like that’s not gonna happen.... again. 
1/7/20 0:01,Honestly shout out to my mom for grocery shopping all those years because I’m telling you I would make a frozen pizza every night if it weren’t for Walmart pick up
1/6/20 23:52,Retailers can follow Walmart &amp; Target that embraced buy online including pickup in-store offerings for consumers to pick up their orders. 
1/6/20 23:43,I mean there’s like 1000 but I feel weird walking into a Walmart solely to pick up the stitch plushie I ordered online skdjjds
1/6/20 23:43,is there a walmart near you? it will cost less to ship to store and pick it up there
1/6/20 23:35,@Walmart Grocery Pick Up was terrible today! Waited here for almost an hour and so many cars and not enough spots!! Very frustrating!
1/6/20 23:34,Walmart: you go to this store to pick up your order cause the one by you doesn’t have everything Me: ok Walmart: we lied no sponges until Monday Me: ok *picks up order* also cancel sponges cause not until next week. Walmart: Me: cancel sponges Walmart: Walmart: hey sponges here!
1/6/20 23:33,Wow this Walmart Grocery pick up is real live legit! I’ll never walk in an grocery shop again 
1/6/20 23:32,=> @Walmart online pick up is getting busier! Had to wait 5-7 min for a spot to open up too. It’s so convenient. – at Walmart
1/6/20 22:51,"i just did walmart grocery pick up and it was the quickest, easiest grocery trip i have ever made!!!!! 15/10!!!! five stars!!!!"
1/6/20 22:42,"currently waiting in the Walmart parking lot for my mom to come back, then we have to pick up my cousins. I’m sorry y’all it’ll be a little longer"
1/6/20 22:29,i was supposed to stop at Walmart to pick my pillows up
1/6/20 22:22,Don't ever make customers wait for associates to pick up on line orders from the pick up station @walmarthelp @Walmart
1/6/20 21:54,"So, I'm crashed for the time being. Matt has to go pick up my prescriptions, because the wait was like an hour, and no way I was going to hang around spreading flu in Walmart market for… https://www.instagram.com/p/B6_nfnQBkGR3cBnk833LiCJNR9A5bMUnbLlZP80/?igshid=48deod18b2ay"
1/6/20 21:54,"Would someone please explain to this guy how budgets and procurement work? It sounds like he thinks someone picked out the ships, guns, and tanks to buy on the WalMart website and then went to the store to pick them up (like some do for groceries)."
1/6/20 21:51,I gotta go to pick stuff up at the store but don’t want to drive further to Walmart for cheaper than Walgreens right by my house 
1/6/20 21:18,Whatever you can pick up from Walmart-cheap
1/6/20 21:15,Walmart grocery pick up is seriously the best invention ever!
